	Dark skin	Light skin	Blue sky	Foliage	Blue flower	Bluish green	Orange	Purplish blue	Moderate red	Purple	Yellow green	Orange yellow	Blue	Green	Red	Yellow	Magenta	Cyan	White	Neutral 8	Neutral 6.5	Neutral 5	Neutral 3.5	Black
529.84	0.084523	0.26922	0.20691	0.18611	0.22902	0.54847	0.17835	0.11899	0.098499	0.048535	0.55743	0.32907	0.056851	0.36568	0.058819	0.59603	0.10164	0.26818	0.95019	0.63387	0.37867	0.19296	0.093237	0.032836
533.04	0.084879	0.26294	0.20397	0.19019	0.22753	0.54035	0.18629	0.11484	0.098425	0.047912	0.56552	0.36843	0.054919	0.36062	0.058702	0.624	0.098895	0.25208	0.95089	0.6342	0.37886	0.19339	0.093237	0.032791
536.23	0.085271	0.2609	0.20134	0.19035	0.2263	0.53107	0.19242	0.11122	0.098482	0.047747	0.57019	0.40053	0.053289	0.35378	0.058421	0.64697	0.097862	0.23624	0.95137	0.63431	0.37895	0.19383	0.09321	0.032699
539.42	0.085818	0.26293	0.19888	0.18775	0.22476	0.52096	0.19798	0.10811	0.098636	0.047957	0.57151	0.42455	0.051939	0.34543	0.058054	0.66549	0.098384	0.22039	0.95148	0.63454	0.37906	0.19398	0.09319	0.032682
542.61	0.086569	0.26778	0.19652	0.18355	0.22301	0.51022	0.20437	0.10516	0.09875	0.048354	0.57075	0.44246	0.050746	0.33618	0.057567	0.68045	0.099987	0.20509	0.95195	0.63492	0.37937	0.19441	0.093087	0.032641
545.8	0.087556	0.27287	0.19343	0.17796	0.22017	0.49832	0.212	0.10234	0.099027	0.048755	0.56745	0.45584	0.049665	0.32565	0.057182	0.69214	0.10191	0.19028	0.95196	0.63431	0.37943	0.1944	0.092907	0.032576
548.99	0.088924	0.2756	0.18947	0.17167	0.21634	0.48569	0.22147	0.099645	0.099699	0.049004	0.5632	0.46693	0.04864	0.31437	0.056954	0.70154	0.10322	0.17602	0.95112	0.63374	0.37953	0.19465	0.092823	0.032529
552.19	0.090731	0.27502	0.18467	0.16491	0.21121	0.47271	0.23395	0.096913	0.10069	0.048867	0.5581	0.47667	0.047676	0.30279	0.056833	0.70917	0.10322	0.16245	0.95066	0.63306	0.37928	0.195	0.09268	0.03253
555.38	0.093049	0.27169	0.17937	0.15795	0.20524	0.45931	0.24984	0.09425	0.10185	0.048439	0.55224	0.48657	0.046791	0.29109	0.056905	0.71442	0.10218	0.15035	0.94939	0.63207	0.37896	0.1951	0.092618	0.032497
558.57	0.096033	0.2681	0.17391	0.15105	0.19853	0.44518	0.26934	0.092032	0.10314	0.048124	0.54487	0.49648	0.045989	0.27967	0.057483	0.71868	0.10082	0.13967	0.94893	0.63209	0.37896	0.19522	0.092502	0.032459
