"Light Blue"	""	""	
420	4.730000E-1
430	4.929000E-1
440	5.127000E-1
450	5.386000E-1
460	5.724000E-1
470	5.986000E-1
480	6.189000E-1
490	6.570000E-1
500	7.044000E-1
510	7.394000E-1
520	7.589000E-1
530	7.685000E-1
540	7.749000E-1
550	7.804000E-1
560	7.804000E-1
570	7.823000E-1
580	7.767000E-1
590	7.646000E-1
600	7.411000E-1
610	7.213000E-1
620	7.118000E-1
630	7.096000E-1
640	7.098000E-1
650	7.147000E-1
660	7.282000E-1
670	7.479000E-1
680	7.672000E-1
690	7.810000E-1
700	7.909000E-1
710	7.932000E-1
720	7.917000E-1
730	7.691000E-1
"Green"	""	""	
380	3.580000E-2
390	4.650000E-2
400	5.670000E-2
410	6.050000E-2
420	5.810000E-2
430	5.690000E-2
440	5.830000E-2
450	6.460000E-2
460	7.650000E-2
470	8.840000E-2
480	1.079000E-1
490	1.684000E-1
500	2.997000E-1
510	4.349000E-1
520	4.709000E-1
530	4.338000E-1
540	3.717000E-1
550	3.002000E-1
560	2.257000E-1
570	1.677000E-1
580	1.314000E-1
590	1.119000E-1
600	9.660000E-2
610	8.650000E-2
620	8.480000E-2
630	8.620000E-2
640	8.830000E-2
650	9.850000E-2
660	1.131000E-1
670	1.215000E-1
680	1.185000E-1
690	1.106000E-1
700	9.890000E-2
710	8.800000E-2
720	9.430000E-2
730	1.181000E-1
"Light Yellow"	""	""	
380	1.681000E-1
390	2.204000E-1
400	2.873000E-1
410	3.327000E-1
420	3.424000E-1
430	3.469000E-1
440	3.586000E-1
450	3.807000E-1
460	4.149000E-1
470	4.542000E-1
480	4.972000E-1
490	5.593000E-1
500	6.465000E-1
510	7.367000E-1
520	8.030000E-1
530	8.389000E-1
540	8.578000E-1
550	8.706000E-1
560	8.765000E-1
570	8.870000E-1
580	8.934000E-1
590	9.020000E-1
600	9.084000E-1
610	9.130000E-1
620	9.167000E-1
630	9.192000E-1
640	9.189000E-1
650	9.211000E-1
660	9.241000E-1
670	9.265000E-1
680	9.291000E-1
690	9.283000E-1
700	9.310000E-1
710	9.312000E-1
720	9.256000E-1
730	8.842000E-1
"Yellow"	""	""	
380	5.820000E-2
390	6.800000E-2
400	7.290000E-2
410	7.130000E-2
420	6.470000E-2
430	6.090000E-2
440	6.100000E-2
450	6.620000E-2
460	7.780000E-2
470	9.410000E-2
480	1.178000E-1
490	1.675000E-1
500	2.710000E-1
510	4.355000E-1
520	6.193000E-1
530	7.543000E-1
540	8.134000E-1
550	8.361000E-1
560	8.432000E-1
570	8.525000E-1
580	8.652000E-1
590	8.834000E-1
600	8.928000E-1
610	8.982000E-1
620	9.017000E-1
630	9.024000E-1
640	9.039000E-1
650	9.084000E-1
660	9.125000E-1
670	9.143000E-1
680	9.167000E-1
690	9.164000E-1
700	9.163000E-1
710	9.139000E-1
720	9.079000E-1
730	8.612000E-1
"Light Red"	""	""	
380	1.577000E-1
390	2.057000E-1
400	2.662000E-1
410	3.074000E-1
