SRT-MS-050 Multi-Step Reflectance Target				
This data is for reference only				
250	0.9647	0.4405	0.2178	0.1231
251	0.9654	0.4400	0.2176	0.1228
252	0.9660	0.4402	0.2171	0.1227
253	0.9666	0.4396	0.2164	0.1219
254	0.9667	0.4390	0.2160	0.1216
255	0.9681	0.4385	0.2159	0.1216
256	0.9684	0.4389	0.2155	0.1218
257	0.9679	0.4382	0.2149	0.1210
258	0.9674	0.4371	0.2145	0.1211
259	0.9694	0.4373	0.2144	0.1206
260	0.9698	0.4366	0.2143	0.1205
261	0.9699	0.4361	0.2139	0.1198
262	0.9702	0.4366	0.2136	0.1201
263	0.9718	0.4366	0.2134	0.1198
264	0.9722	0.4361	0.2131	0.1196
265	0.9723	0.4356	0.2129	0.1195
266	0.9729	0.4360	0.2129	0.1189
267	0.9726	0.4360	0.2124	0.1190
268	0.9742	0.4361	0.2124	0.1186
269	0.9746	0.4348	0.2124	0.1188
270	0.9752	0.4351	0.2124	0.1185
271	0.9758	0.4347	0.2123	0.1184
272	0.9753	0.4346	0.2118	0.1180
273	0.9768	0.4355	0.2122	0.1180
274	0.9775	0.4347	0.2123	0.1178
275	0.9778	0.4349	0.2117	0.1177
276	0.9785	0.4342	0.2114	0.1174
277	0.9788	0.4347	0.2111	0.1173
278	0.9801	0.4348	0.2111	0.1173
279	0.9798	0.4351	0.2111	0.1170
280	0.9804	0.4344	0.2111	0.1172
281	0.9813	0.4344	0.2108	0.1169
282	0.9818	0.4342	0.2105	0.1167
283	0.9833	0.4345	0.2107	0.1164
284	0.9834	0.4344	0.2104	0.1162
285	0.9834	0.4341	0.2101	0.1161
286	0.9838	0.4338	0.2102	0.1161
287	0.9841	0.4339	0.2101	0.1160
288	0.9848	0.4344	0.2101	0.1159
289	0.9851	0.4338	0.2100	0.1158
290	0.9856	0.4332	0.2100	0.1155
291	0.9861	0.4335	0.2099	0.1154
292	0.9856	0.4335	0.2097	0.1157
293	0.9866	0.4337	0.2100	0.1157
294	0.9865	0.4339	0.2098	0.1156
295	0.9865	0.4336	0.2094	0.1154
296	0.9864	0.4330	0.2093	0.1152
297	0.9858	0.4332	0.2091	0.1148
298	0.9869	0.4338	0.2092	0.1154
299	0.9873	0.4332	0.2092	0.1151
300	0.9872	0.4336	0.2092	0.1149
301	0.9872	0.4333	0.2089	0.1145
302	0.9869	0.4330	0.2086	0.1145
303	0.9866	0.4328	0.2085	0.1145
304	0.9866	0.4324	0.2086	0.1146
305	0.9875	0.4329	0.2089	0.1148
306	0.9874	0.4326	0.2088	0.1143
307	0.9878	0.4330	0.2087	0.1142
308	0.9879	0.4324	0.2086	0.1141
309	0.9877	0.4324	0.2083	0.1139
310	0.9876	0.4326	0.2083	0.1138
311	0.9878	0.4323	0.2082	0.1138
312	0.9877	0.4319	0.2080	0.1135
313	0.9889	0.4328	0.2083	0.1137
314	0.9893	0.4322	0.2082	0.1138
315	0.9887	0.4322	0.2079	0.1136
316	0.9880	0.4323	0.2077	0.1138
317	0.9885	0.4322	0.2078	0.1133
318	0.9895	0.4325	0.2082	0.1136
319	0.9914	0.4317	0.2073	0.1133
320	0.9916	0.4318	0.2067	0.1134
321	0.9899	0.4322	0.2067	0.1137
322	0.9909	0.4315	0.2065	0.1135
323	0.9923	0.4327	0.2067	0.1137
324	0.9920	0.4318	0.2069	0.1134
325	0.9910	0.4322	0.2065	0.1126
326	0.9908	0.4317	0.2066	0.1132
327	0.9908	0.4319	0.2064	0.1132
328	0.9919	0.4321	0.2066	0.1133
329	0.9922	0.4315	0.2067	0.1131
330	0.9918	0.4326	0.2067	0.1129
331	0.9908	0.4330	0.2066	0.1132
332	0.9910	0.4313	0.2065	0.1125
333	0.9918	0.4323	0.2065	0.1125
334	0.9931	0.4317	0.2065	0.1124
335	0.9938	0.4322	0.2067	0.1128
336	0.9931	0.4327	0.2070	0.1129
337	0.9927	0.4329	0.2068	0.1126
338	0.9944	0.4322	0.2069	0.1125
339	0.9931	0.4324	0.2068	0.1128
340	0.9938	0.4328	0.2069	0.1127
341	0.9927	0.4328	0.2067	0.1120
342	0.9927	0.4327	0.2067	0.1124
343	0.9919	0.4323	0.2066	0.1123
344	0.9913	0.4325	0.2065	0.1122
345	0.9929	0.4330	0.2068	0.1125
346	0.9937	0.4327	0.2069	0.1124
347	0.9944	0.4329	0.2069	0.1124
348	0.9957	0.4335	0.2074	0.1122
349	0.9937	0.4333	0.2071	0.1122
350	0.9931	0.4339	0.2069	0.1123
351	0.9930	0.4337	0.2070	0.1123
352	0.9930	0.4342	0.2067	0.1120
353	0.9939	0.4337	0.2068	0.1118
354	0.9938	0.4336	0.2069	0.1116
355	0.9928	0.4335	0.2072	0.1116
356	0.9929	0.4339	0.2069	0.1120
357	0.9927	0.4340	0.2070	0.1115
358	0.9919	0.4342	0.2071	0.1120
359	0.9920	0.4335	0.2072	0.1121
360	0.9918	0.4337	0.2073	0.1118
361	0.9933	0.4340	0.2074	0.1117
362	0.9923	0.4338	0.2076	0.1116
363	0.9926	0.4339	0.2075	0.1116
364	0.9924	0.4346	0.2077	0.1114
365	0.9945	0.4351	0.2084	0.1118
366	0.9933	0.4347	0.2082	0.1118
367	0.9918	0.4353	0.2079	0.1117
368	0.9933	0.4356	0.2086	0.1116
369	0.9925	0.4356	0.2086	0.1116
370	0.9921	0.4360	0.2089	0.1116
371	0.9926	0.4359	0.2091	0.1115
372	0.9924	0.4363	0.2091	0.1115
373	0.9925	0.4360	0.2094	0.1118
374	0.9922	0.4358	0.2097	0.1119
375	0.9913	0.4361	0.2102	0.1122
376	0.9921	0.4370	0.2110	0.1119
377	0.9918	0.4371	0.2120	0.1115
378	0.9922	0.4365	0.2111	0.1118
379	0.9916	0.4359	0.2089	0.1118
380	0.9901	0.4357	0.2075	0.1115
381	0.9899	0.4359	0.2076	0.1116
382	0.9902	0.4359	0.2076	0.1113
383	0.9891	0.4359	0.2074	0.1113
384	0.9893	0.4362	0.2076	0.1113
385	0.9910	0.4369	0.2078	0.1115
386	0.9904	0.4370	0.2080	0.1115
387	0.9908	0.4370	0.2082	0.1113
388	0.9903	0.4370	0.2080	0.1113
389	0.9909	0.4372	0.2081	0.1112
390	0.9900	0.4373	0.2082	0.1113
391	0.9906	0.4375	0.2082	0.1113
392	0.9902	0.4378	0.2082	0.1113
393	0.9904	0.4379	0.2084	0.1113
394	0.9904	0.4377	0.2085	0.1111
395	0.9914	0.4383	0.2088	0.1112
396	0.9911	0.4386	0.2087	0.1114
397	0.9919	0.4388	0.2089	0.1113
398	0.9911	0.4389	0.2089	0.1114
399	0.9916	0.4390	0.2091	0.1113
400	0.9910	0.4391	0.2090	0.1111
