417	8.89E-01	2.05E-02	6.68E-04	4.22E-04	3.38E-04	1.50E-04	1.26E-04	-1.10E-04	1.15E-04	3.85E-05
418	7.89E-01	2.62E-02	9.44E-04	1.47E-04	8.16E-05	6.08E-04	1.79E-04	2.56E-04	-9.06E-05	-1.95E-04
419	6.98E-01	3.24E-02	9.98E-04	4.33E-04	8.96E-05	6.03E-04	2.84E-04	-8.03E-07	3.32E-05	1.70E-04
420	6.09E-01	3.98E-02	1.38E-03	2.26E-04	4.16E-05	4.98E-04	-3.93E-05	2.07E-04	3.80E-06	-6.22E-05
421	5.28E-01	4.82E-02	1.87E-03	4.28E-04	1.09E-04	5.32E-04	1.65E-04	1.21E-04	-2.48E-05	1.33E-04
422	4.57E-01	5.84E-02	2.67E-03	4.56E-04	1.53E-04	4.66E-04	1.92E-04	-9.67E-05	2.92E-04	-1.72E-04
423	3.85E-01	7.34E-02	3.34E-03	3.57E-04	1.39E-04	4.84E-04	2.20E-04	-1.22E-04	9.94E-05	4.38E-05
424	3.37E-01	8.78E-02	4.37E-03	3.95E-04	-3.14E-04	4.65E-04	3.10E-04	8.04E-05	-3.40E-04	2.31E-06
425	2.97E-01	1.06E-01	5.79E-03	7.14E-04	-6.67E-05	3.90E-04	2.87E-04	1.51E-04	-3.83E-04	-1.73E-04
426	2.66E-01	1.25E-01	7.13E-03	4.55E-04	1.09E-04	3.74E-04	2.50E-04	-3.57E-06	4.21E-05	4.14E-05
427	2.31E-01	1.53E-01	9.31E-03	5.50E-04	4.17E-04	6.02E-04	2.19E-04	-8.85E-05	5.52E-06	-1.27E-04
428	2.06E-01	1.79E-01	1.12E-02	6.59E-04	2.81E-04	4.18E-04	4.47E-05	-2.28E-04	-1.10E-05	8.72E-05
429	1.84E-01	2.10E-01	1.42E-02	8.00E-04	3.66E-05	3.22E-04	4.09E-04	-1.11E-04	9.14E-05	-5.09E-05
430	1.63E-01	2.44E-01	1.76E-02	9.97E-04	1.41E-04	3.62E-04	6.66E-04	-7.44E-05	-7.60E-05	1.20E-04
431	1.39E-01	2.89E-01	2.20E-02	1.05E-03	1.92E-04	6.00E-04	4.45E-04	-3.62E-05	1.85E-04	1.54E-04
432	1.22E-01	3.31E-01	2.74E-02	1.50E-03	2.74E-05	4.37E-04	5.23E-04	2.91E-04	-5.32E-06	-1.15E-04
433	1.06E-01	3.77E-01	3.34E-02	1.56E-03	2.60E-04	3.37E-04	4.38E-04	-1.44E-04	3.41E-05	2.13E-05
